raterID;attractiveness;targetID;sex;ethnicity;zAge;zHeight;zBMI;sqzAge;sqzHeight;sqzBMI;zWCptsPB;zAttractiveness;zMouthCurv;zfWHR;meanAthlAttr
R171;1;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-1.5479;-0.48;0.6;-0.121
R172;4;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;0.5068;-0.48;0.6;-0.121
R173;3;F04;female;Cauc;0.15;1.16;-0.18;0.02;1.35;0.03;-0.89;-0.1781;-0.48;0.6;-0.121
R123;3;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.1781;-0.21;0.04;-0.6918
R124;2;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.863;-0.21;0.04;-0.6918
R125;2;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.863;-0.21;0.04;-0.6918
R127;3;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.1781;-0.21;0.04;-0.6918
R130;2;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.863;-0.21;0.04;-0.6918
R131;3;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.1781;-0.21;0.04;-0.6918
R137;1;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-1.5479;-0.21;0.04;-0.6918
R138;3;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.1781;-0.21;0.04;-0.6918
R143;3;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.1781;-0.21;0.04;-0.6918
R146;3;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.1781;-0.21;0.04;-0.6918
R149;1;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-1.5479;-0.21;0.04;-0.6918
R150;3;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.1781;-0.21;0.04;-0.6918
R152;4;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;0.5068;-0.21;0.04;-0.6918
R153;4;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;0.5068;-0.21;0.04;-0.6918
R155;3;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.1781;-0.21;0.04;-0.6918
R156;2;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.863;-0.21;0.04;-0.6918
R158;1;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-1.5479;-0.21;0.04;-0.6918
R159;1;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-1.5479;-0.21;0.04;-0.6918
R165;1;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-1.5479;-0.21;0.04;-0.6918
R169;2;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.863;-0.21;0.04;-0.6918
R170;2;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.863;-0.21;0.04;-0.6918
R171;1;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-1.5479;-0.21;0.04;-0.6918
R172;3;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-0.1781;-0.21;0.04;-0.6918
R173;1;F05;female;Cauc;0.09;0.79;2.07;0.01;0.63;4.27;0.67;-1.5479;-0.21;0.04;-0.6918
R123;5;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.1918;0.75;-0.11;0.8493
R124;5;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.1918;0.75;-0.11;0.8493
R125;5;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.1918;0.75;-0.11;0.8493
R127;5;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.1918;0.75;-0.11;0.8493
R130;5;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.1918;0.75;-0.11;0.8493
R131;5;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.1918;0.75;-0.11;0.8493
R137;7;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;2.5616;0.75;-0.11;0.8493
R138;5;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.1918;0.75;-0.11;0.8493
R143;5;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.1918;0.75;-0.11;0.8493
R146;6;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.8767;0.75;-0.11;0.8493
R149;3;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;-0.1781;0.75;-0.11;0.8493
R150;5;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.1918;0.75;-0.11;0.8493
R152;6;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.8767;0.75;-0.11;0.8493
R153;6;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.8767;0.75;-0.11;0.8493
R155;4;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;0.5068;0.75;-0.11;0.8493
R156;6;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;1.8767;0.75;-0.11;0.8493
R158;3;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;-0.1781;0.75;-0.11;0.8493
R159;3;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;-0.1781;0.75;-0.11;0.8493
R165;4;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;0.5068;0.75;-0.11;0.8493
R169;2;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;-0.863;0.75;-0.11;0.8493
R170;4;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;0.5068;0.75;-0.11;0.8493
R171;1;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;-1.5479;0.75;-0.11;0.8493
R172;4;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;0.5068;0.75;-0.11;0.8493
R173;4;F06;female;Cauc;1.2;1.16;0.08;1.44;1.35;0.01;0.83;0.5068;0.75;-0.11;0.8493
R123;3;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.1781;1.2;1.37;-0.6843
R124;3;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.1781;1.2;1.37;-0.6843
R125;2;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.863;1.2;1.37;-0.6843
R127;2;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.863;1.2;1.37;-0.6843
R130;2;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.863;1.2;1.37;-0.6843
R131;3;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.1781;1.2;1.37;-0.6843
R137;1;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-1.5479;1.2;1.37;-0.6843
R138;4;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;0.5068;1.2;1.37;-0.6843
R143;2;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.863;1.2;1.37;-0.6843
R146;3;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.1781;1.2;1.37;-0.6843
R149;1;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-1.5479;1.2;1.37;-0.6843
R152;2;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.863;1.2;1.37;-0.6843
R153;3;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.1781;1.2;1.37;-0.6843
R155;3;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.1781;1.2;1.37;-0.6843
R156;4;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;0.5068;1.2;1.37;-0.6843
R158;2;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.863;1.2;1.37;-0.6843
R159;2;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.863;1.2;1.37;-0.6843
R165;1;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-1.5479;1.2;1.37;-0.6843
R169;1;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-1.5479;1.2;1.37;-0.6843
R170;3;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.1781;1.2;1.37;-0.6843
R171;1;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-1.5479;1.2;1.37;-0.6843
R172;3;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-0.1781;1.2;1.37;-0.6843
R173;1;F07;female;Cauc;0.7;2.47;0.05;0.49;6.08;0;1.52;-1.5479;1.2;1.37;-0.6843
R123;3;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;-0.1781;0.16;0.2;0.7922
R124;6;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.8767;0.16;0.2;0.7922
R125;3;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;-0.1781;0.16;0.2;0.7922
R127;4;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;0.5068;0.16;0.2;0.7922
R130;3;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;-0.1781;0.16;0.2;0.7922
R131;5;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.1918;0.16;0.2;0.7922
R137;6;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.8767;0.16;0.2;0.7922
R138;5;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.1918;0.16;0.2;0.7922
R143;4;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;0.5068;0.16;0.2;0.7922
R146;3;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;-0.1781;0.16;0.2;0.7922
R149;5;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.1918;0.16;0.2;0.7922
R150;6;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.8767;0.16;0.2;0.7922
R152;6;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.8767;0.16;0.2;0.7922
R153;5;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.1918;0.16;0.2;0.7922
R155;5;F08;female;Cauc;0.35;0.23;-0.61;0.13;0.05;0.37;2.85;1.1918;0.16;0.2;0.7922
