no,noNo,orgCommit,turnoverInt,orgValues,t.quit,t.looking,t.possibility,o.emotional,o.contnuous,o.specification
331,67,51,18,16,6,6,6,21,15,15
332,68,64,19,17,7,6,6,22,20,22
333,69,54,12,20,4,4,4,20,18,16
334,70,49,19,16,6,7,6,13,22,14
335,71,68,8,15,2,2,4,22,24,22
336,72,66,17,21,6,6,5,22,22,22
337,73,67,16,16,7,4,5,22,23,22
338,74,67,16,18,6,5,5,24,20,23
339,75,58,15,18,5,4,6,19,20,19
340,76,58,17,19,5,6,6,23,18,17
341,77,63,13,17,3,4,6,23,20,20
342,78,63,12,17,2,4,6,24,21,18
343,79,70,16,18,6,4,6,20,26,24
344,80,72,14,15,5,4,5,26,20,26
345,81,72,16,20,5,6,5,24,23,25
346,82,69,12,20,2,4,6,23,23,23
347,83,64,17,20,6,5,6,25,20,19
348,84,72,16,20,5,6,5,22,26,24
349,85,64,16,20,6,4,6,18,25,21
350,86,60,14,15,4,4,6,18,22,20
351,87,61,17,16,6,5,6,21,16,24
352,88,67,12,17,2,4,6,24,20,23
353,89,80,12,21,2,4,6,26,26,28
354,90,86,9,23,2,4,3,28,29,29
355,91,85,10,25,3,3,4,28,30,27
356,92,87,7,25,2,2,3,29,28,30
357,93,75,14,20,4,4,6,30,20,25
358,94,80,12,20,4,3,5,27,26,27
359,95,81,10,21,2,4,4,26,28,27
360,96,90,6,16,1,2,3,30,30,30
361,97,56,18,18,7,5,6,22,16,18
362,98,72,13,20,4,5,4,24,26,22
363,99,80,12,20,4,2,6,26,26,28
364,100,62,16,24,4,6,6,24,20,18
365,101,82,10,23,3,2,5,29,26,27
366,102,80,12,22,3,4,5,28,26,26
367,103,68,18,20,6,6,6,24,22,22
368,104,62,14,19,4,5,5,23,15,24
369,105,71,17,20,5,6,6,24,22,25
370,106,74,14,25,5,5,4,24,25,25
371,107,64,17,25,6,5,6,21,22,21
372,108,54,18,15,7,5,6,20,16,18
373,109,55,20,11,6,7,7,17,20,18
374,110,64,18,17,5,7,6,18,23,23
375,111,75,14,21,4,4,6,27,22,26
376,112,89,7,24,2,1,4,29,30,30
377,113,56,18,20,6,5,7,23,18,15
378,114,61,18,19,7,5,6,20,22,19
379,115,61,20,16,4,5,7,19,20,22
380,116,44,22,12,4,3,5,14,17,13
