"isco08";"unit";"geo";"time";"values";"year"
"OC2221_3221";"P_HTHAB";"LT";"2020-01-01";27.23;"2020"
"OC2221_3221";"P_HTHAB";"LU";"2020-01-01";10.79;"2020"
"OC2221_3221";"P_HTHAB";"LV";"2020-01-01";29.31;"2020"
"OC2221_3221";"P_HTHAB";"ME";"2020-01-01";6.76;"2020"
"OC2221_3221";"P_HTHAB";"MT";"2020-01-01";32.02;"2020"
"OC2221_3221";"P_HTHAB";"NL";"2020-01-01";59.97;"2020"
"OC2221_3221";"P_HTHAB";"NO";"2020-01-01";75.64;"2020"
"OC2221_3221";"P_HTHAB";"PT";"2020-01-01";25.9;"2020"
"OC2221_3221";"P_HTHAB";"RO";"2020-01-01";99.95;"2020"
"OC2221_3221";"P_HTHAB";"RS";"2020-01-01";52.05;"2020"
"OC2221_3221";"P_HTHAB";"SK";"2020-01-01";18.28;"2020"
"OC2221_3221";"P_HTHAB";"TR";"2020-01-01";18.27;"2020"
"OC2222_3222";"HAB_P";"AT";"2020-01-01";120498.16;"2020"
"OC2222_3222";"HAB_P";"BE";"2020-01-01";17815.19;"2020"
"OC2222_3222";"HAB_P";"BG";"2020-01-01";34844.3;"2020"
"OC2222_3222";"HAB_P";"CH";"2020-01-01";42544.63;"2020"
"OC2222_3222";"HAB_P";"CZ";"2020-01-01";54860.81;"2020"
"OC2222_3222";"HAB_P";"DE";"2020-01-01";110881.16;"2020"
"OC2222_3222";"HAB_P";"EE";"2020-01-01";44317.4;"2020"
"OC2222_3222";"HAB_P";"ES";"2020-01-01";131565.05;"2020"
"OC2222_3222";"HAB_P";"FI";"2020-01-01";28211.95;"2020"
"OC2222_3222";"HAB_P";"FR";"2020-01-01";75033.3;"2020"
"OC2222_3222";"HAB_P";"HU";"2020-01-01";42577.07;"2020"
"OC2222_3222";"HAB_P";"IE";"2020-01-01";38950.57;"2020"
"OC2222_3222";"HAB_P";"IT";"2020-01-01";130371.77;"2020"
"OC2222_3222";"HAB_P";"LT";"2020-01-01";84693.48;"2020"
"OC2222_3222";"HAB_P";"LU";"2020-01-01";126083.8;"2020"
"OC2222_3222";"HAB_P";"LV";"2020-01-01";45248.79;"2020"
"OC2222_3222";"HAB_P";"MK";"2020-01-01";86355.48;"2020"
"OC2222_3222";"HAB_P";"MT";"2020-01-01";46848.36;"2020"
"OC2222_3222";"HAB_P";"NL";"2020-01-01";116276.67;"2020"
"OC2222_3222";"HAB_P";"NO";"2020-01-01";37099.82;"2020"
"OC2222_3222";"HAB_P";"RS";"2020-01-01";18953.64;"2020"
"OC2222_3222";"HAB_P";"SE";"2020-01-01";30009.98;"2020"
"OC2222_3222";"HAB_P";"SK";"2020-01-01";92522.49;"2020"
"OC2222_3222";"HAB_P";"TR";"2020-01-01";23968;"2020"
"OC2222_3222";"NR";"AT";"2020-01-01";74;"2020"
"OC2222_3222";"NR";"BE";"2020-01-01";648;"2020"
"OC2222_3222";"NR";"BG";"2020-01-01";199;"2020"
"OC2222_3222";"NR";"CH";"2020-01-01";203;"2020"
"OC2222_3222";"NR";"CZ";"2020-01-01";195;"2020"
"OC2222_3222";"NR";"DE";"2020-01-01";750;"2020"
"OC2222_3222";"NR";"EE";"2020-01-01";30;"2020"
"OC2222_3222";"NR";"ES";"2020-01-01";360;"2020"
"OC2222_3222";"NR";"FI";"2020-01-01";196;"2020"
"OC2222_3222";"NR";"FR";"2020-01-01";898;"2020"
"OC2222_3222";"NR";"HU";"2020-01-01";229;"2020"
"OC2222_3222";"NR";"IE";"2020-01-01";128;"2020"
"OC2222_3222";"NR";"IT";"2020-01-01";456;"2020"
"OC2222_3222";"NR";"LI";"2020-01-01";0;"2020"
"OC2222_3222";"NR";"LT";"2020-01-01";33;"2020"
"OC2222_3222";"NR";"LU";"2020-01-01";5;"2020"
"OC2222_3222";"NR";"LV";"2020-01-01";42;"2020"
"OC2222_3222";"NR";"MK";"2020-01-01";24;"2020"
"OC2222_3222";"NR";"MT";"2020-01-01";11;"2020"
"OC2222_3222";"NR";"NL";"2020-01-01";150;"2020"
"OC2222_3222";"NR";"NO";"2020-01-01";145;"2020"
"OC2222_3222";"NR";"RS";"2020-01-01";364;"2020"
"OC2222_3222";"NR";"SE";"2020-01-01";345;"2020"
"OC2222_3222";"NR";"SK";"2020-01-01";59;"2020"
"OC2222_3222";"NR";"TR";"2020-01-01";3479;"2020"
"OC2222_3222";"P_HTHAB";"AT";"2020-01-01";0.83;"2020"
"OC2222_3222";"P_HTHAB";"BE";"2020-01-01";5.61;"2020"
"OC2222_3222";"P_HTHAB";"BG";"2020-01-01";2.87;"2020"
"OC2222_3222";"P_HTHAB";"CH";"2020-01-01";2.35;"2020"
"OC2222_3222";"P_HTHAB";"CZ";"2020-01-01";1.82;"2020"
"OC2222_3222";"P_HTHAB";"DE";"2020-01-01";0.9;"2020"
"OC2222_3222";"P_HTHAB";"EE";"2020-01-01";2.26;"2020"
"OC2222_3222";"P_HTHAB";"ES";"2020-01-01";0.76;"2020"
"OC2222_3222";"P_HTHAB";"FI";"2020-01-01";3.54;"2020"
"OC2222_3222";"P_HTHAB";"FR";"2020-01-01";1.33;"2020"
"OC2222_3222";"P_HTHAB";"HU";"2020-01-01";2.35;"2020"
"OC2222_3222";"P_HTHAB";"IE";"2020-01-01";2.57;"2020"
"OC2222_3222";"P_HTHAB";"IT";"2020-01-01";0.77;"2020"
"OC2222_3222";"P_HTHAB";"LI";"2020-01-01";0;"2020"
"OC2222_3222";"P_HTHAB";"LT";"2020-01-01";1.18;"2020"
"OC2222_3222";"P_HTHAB";"LU";"2020-01-01";0.79;"2020"
"OC2222_3222";"P_HTHAB";"LV";"2020-01-01";2.21;"2020"
"OC2222_3222";"P_HTHAB";"MK";"2020-01-01";1.16;"2020"
"OC2222_3222";"P_HTHAB";"MT";"2020-01-01";2.13;"2020"
"OC2222_3222";"P_HTHAB";"NL";"2020-01-01";0.86;"2020"
"OC2222_3222";"P_HTHAB";"NO";"2020-01-01";2.7;"2020"
"OC2222_3222";"P_HTHAB";"RS";"2020-01-01";5.28;"2020"
"OC2222_3222";"P_HTHAB";"SE";"2020-01-01";3.33;"2020"
"OC2222_3222";"P_HTHAB";"SK";"2020-01-01";1.08;"2020"
"OC2222_3222";"P_HTHAB";"TR";"2020-01-01";4.17;"2020"
"OC2261";"HAB_P";"AT";"2020-01-01";38768.97;"2020"
"OC2261";"HAB_P";"BE";"2020-01-01";42756.45;"2020"
"OC2261";"HAB_P";"BG";"2020-01-01";13979.87;"2020"
"OC2261";"HAB_P";"CH";"2020-01-01";70215.94;"2020"
"OC2261";"HAB_P";"CZ";"2020-01-01";37801.62;"2020"
"OC2261";"HAB_P";"DE";"2020-01-01";35969.23;"2020"
"OC2261";"HAB_P";"EE";"2020-01-01";40288.55;"2020"
"OC2261";"HAB_P";"ES";"2020-01-01";26578.8;"2020"
"OC2261";"HAB_P";"FI";"2020-01-01";29412.46;"2020"
"OC2261";"HAB_P";"HU";"2020-01-01";29456.64;"2020"
"OC2261";"HAB_P";"IE";"2020-01-01";56018.8;"2020"
"OC2261";"HAB_P";"IT";"2020-01-01";52938.14;"2020"
"OC2261";"HAB_P";"LT";"2020-01-01";17252.38;"2020"
"OC2261";"HAB_P";"LV";"2020-01-01";31674.15;"2020"
"OC2261";"HAB_P";"ME";"2020-01-01";38831.63;"2020"
"OC2261";"HAB_P";"MK";"2020-01-01";16448.66;"2020"
"OC2261";"HAB_P";"MT";"2020-01-01";51533.2;"2020"
"OC2261";"HAB_P";"NL";"2020-01-01";69766;"2020"
"OC2261";"HAB_P";"NO";"2020-01-01";47188.37;"2020"
"OC2261";"HAB_P";"PT";"2020-01-01";11403.19;"2020"
"OC2261";"HAB_P";"RO";"2020-01-01";9538.15;"2020"
"OC2261";"HAB_P";"RS";"2020-01-01";14616.79;"2020"
"OC2261";"HAB_P";"SE";"2020-01-01";36976.58;"2020"
"OC2261";"HAB_P";"SI";"2020-01-01";42048.38;"2020"
"OC2261";"HAB_P";"SK";"2020-01-01";41670.44;"2020"
"OC2261";"HAB_P";"TR";"2020-01-01";21607.85;"2020"
"OC2261";"NR";"AT";"2020-01-01";230;"2020"
"OC2261";"NR";"BE";"2020-01-01";270;"2020"
"OC2261";"NR";"BG";"2020-01-01";496;"2020"
"OC2261";"NR";"CH";"2020-01-01";123;"2020"
"OC2261";"NR";"CZ";"2020-01-01";283;"2020"
"OC2261";"NR";"DE";"2020-01-01";2312;"2020"
"OC2261";"NR";"EE";"2020-01-01";33;"2020"
"OC2261";"NR";"ES";"2020-01-01";1782;"2020"
"OC2261";"NR";"EU27_2020";"2020-01-01";13912;"2020"
"OC2261";"NR";"FI";"2020-01-01";188;"2020"
"OC2261";"NR";"HU";"2020-01-01";331;"2020"
"OC2261";"NR";"IE";"2020-01-01";89;"2020"
"OC2261";"NR";"IT";"2020-01-01";1123;"2020"
"OC2261";"NR";"LI";"2020-01-01";0;"2020"
"OC2261";"NR";"LT";"2020-01-01";162;"2020"
"OC2261";"NR";"LU";"2020-01-01";0;"2020"
"OC2261";"NR";"LV";"2020-01-01";60;"2020"
"OC2261";"NR";"ME";"2020-01-01";16;"2020"
"OC2261";"NR";"MK";"2020-01-01";126;"2020"
"OC2261";"NR";"MT";"2020-01-01";10;"2020"
"OC2261";"NR";"NL";"2020-01-01";250;"2020"
